Code,Borough,Neighborhood,Year,Population,Hectares,Square_Kilometres,Population_per_hectare,Population_per_square_kilometre,address,Latitude,Longitude
E05000026,Barking and Dagenham,Abbey,2020,16246,127.9,1.2790000000000001,127.0211102,12702.11102,"Abbey, Barking and Dagenham, England",51.5356876,0.07553043645175103
E05000455,Merton,Abbey,2020,10933,139.3,1.393,78.48528356,7848.528356,"Abbey, Merton, England",51.41305415,-0.18334646658823173
E05000630,Westminster,Abbey Road,2020,13331,109.5,1.095,121.7442922,12174.42922,"Abbey Road, Westminster, England",51.5340933,-0.1795893
E05000214,Greenwich,Abbey Wood,2020,16376,265.3,2.653,61.72634753,6172.634753,"Abbey Wood, Greenwich, England",51.487621,0.1140504
E05000382,Kensington and Chelsea,Addington,2020,11203,62.9,0.629,178.1081081,17810.81081,"Addington, Kensington and Chelsea, England",0.0,0.0
E05000170,Ealing,Acton Central,2020,16098,177.5,1.775,90.69295775,9069.295775,"Acton Central, Ealing, England",51.5087164,-0.2628073
E05000146,Croydon,Addiscombe,2020,18607,159.5,1.595,116.6583072,11665.83072,"Addiscombe, Croydon, England",51.3796916,-0.0742821
E05000250,Hammersmith and Fulham,Addison,2020,11359,55.3,0.5529999999999999,205.4068716,20540.687159999998,"Addison, Hammersmith and Fulham, England",51.5008927,-0.217615
E05000495,Redbridge,Aldborough,2020,16413,861.2,8.612,19.05829076,1905.8290760000002,"Aldborough, Redbridge, England",54.0911361,-1.3804879
E05000266,Haringey,Alexandra,2020,12833,261.3,2.613,49.11213165,4911.213165,"Alexandra, Haringey, England",51.5942224,-0.13085714680658356
E05000400,Kingston upon Thames,Alexandra,2020,10574,267.7,2.677,39.49943967,3949.943967,"Alexandra, Kingston upon Thames, England",51.38648405,-0.28626792477186014
E05000027,Barking and Dagenham,Alibon,2020,11320,136.1,1.361,83.17413666,8317.413666,"Alibon, Barking and Dagenham, England",51.5482797,0.153244
E05000085,Brent,Alperton,2020,17817,205.8,2.0580000000000003,86.57434402,8657.434401999999,"Alperton, Brent, England",51.5408036,-0.3000963
E05000147,Croydon,Ashburton,2020,14619,271.4,2.714,53.865143700000004,5386.51437,"Ashburton, Croydon, England",51.3853026,-0.06575066301783374
E05000251,Hammersmith and Fulham,Askew,2020,14663,75.9,0.759,193.18840580000003,19318.84058,"Askew, Hammersmith and Fulham, England",51.5052325,-0.2444416
E05000252,Hammersmith and Fulham,Avonmore and Brook Green,2020,11843,89.5,0.895,132.3240223,13232.40223,"Avonmore and Brook Green, Hammersmith and Fulham, England",0.0,0.0
E05000610,Wandsworth,Balham,2020,15329,120.8,1.208,126.89569540000001,12689.56954,"Balham, Wandsworth, England",51.4456449,-0.1503643
E05000496,Redbridge,Barkingside,2020,13707,152.7,1.527,89.76424361,8976.424361,"Barkingside, Redbridge, England",51.5858181,0.0886245
E05000064,Bexley,Barnehurst,2020,11242,287.0,2.87,39.17073171,3917.073171,"Barnehurst, Bexley, England",51.4650212,0.1596467
E05000516,Richmond upon Thames,Barnes,2020,10321,301.0,3.01,34.28903654,3428.9036539999997,"Barnes, Richmond upon Thames, England",51.4718962,-0.2387441
E05000086,Brent,Barnhill,2020,16782,297.5,2.975,56.41008403,5641.008403,"Barnhill, Brent, England",51.5640905,-0.2631011
E05000324,Hillingdon,Barnhill,2020,14201,211.9,2.119,67.01746107,6701.746107,"Barnhill, Hillingdon, England",51.5879314,-0.3930981
E05000366,Islington,Barnsbury,2020,14096,83.0,0.83,169.8313253,16983.132530000003,"Barnsbury, Islington, England",51.5389351,-0.114735
E05000631,Westminster,Bayswater,2020,11660,51.8,0.518,225.0965251,22509.65251,"Bayswater, Westminster, England",51.5122764,-0.1883854
E05000475,Newham,Beckton,2020,16785,625.6,6.256,26.83024297,2683.024297,"Beckton, Newham, England",51.5160797,0.0594257
E05000028,Barking and Dagenham,Becontree,2020,15016,128.4,1.284,116.9470405,11694.70405,"Becontree, Barking and Dagenham, England",51.5403111,0.1265241
E05000555,Sutton,Beddington North,2020,10780,498.0,4.98,21.64658635,2164.6586350000002,"Beddington North, Sutton, England",51.3719875,-0.1323928
E05000556,Sutton,Beddington South,2020,11355,306.1,3.0610000000000004,37.09572035,3709.572035,"Beddington South, Sutton, England",51.3719875,-0.1323928
E05000346,Hounslow,Bedfont,2020,13718,444.7,4.447,30.84776254,3084.776254,"Bedfont, Hounslow, England",51.4530683,-0.4334413
E05000611,Wandsworth,Bedford,2020,14290,180.4,1.804,79.21286031,7921.286031000001,"Bedford, Wandsworth, England",51.4427243,-0.1493607
E05000437,Lewisham,Bellingham,2020,16234,308.5,3.085,52.62236629,5262.236629,"Bellingham, Lewisham, England",51.4329913,-0.0193662
E05000285,Harrow,Belmont,2020,11731,177.9,1.7790000000000001,65.94154019,6594.154019,"Belmont, Harrow, England",51.601225,-0.3181008
E05000557,Sutton,Belmont,2020,10799,233.7,2.3369999999999997,46.20881472,4620.881472,"Belmont, Sutton, England",51.3438964,-0.1987852
E05000128,Camden,Belsize,2020,14517,78.0,0.78,186.1153846,18611.53846,"Belsize, Camden, England",51.5473926,-0.1683005
E05000065,Bexley,Belvedere,2020,13707,316.1,3.161,43.36285985,4336.285985,"Belvedere, Bexley, England",51.4894735,0.1473593
E05000148,Croydon,Bensham Manor,2020,17397,144.6,1.446,120.3112033,12031.12033,"Bensham Manor, Croydon, England",51.39715405,-0.10693439866932547
E05000401,Kingston upon Thames,Berrylands,2020,10900,145.2,1.452,75.06887052,7506.887051999999,"Berrylands, Kingston upon Thames, England",51.3937811,-0.2848024
