Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Abbey,51.5356876,0.07553043645175103,Barking Abbey,51.53535188660234,0.07605408412892296,Park
Abbey,51.5356876,0.07553043645175103,Cristina's,51.536522763049014,0.07667182139458822,Steakhouse
Abbey,51.5356876,0.07553043645175103,The Gym London Barking,51.53619293708999,0.07860085726238432,Gym
Abbey,51.5356876,0.07553043645175103,Asda,51.5376028,0.0773746,Supermarket
Abbey,51.5356876,0.07553043645175103,Premier Inn London Barking,51.53438503038732,0.07110929306538337,Hotel
Abbey,51.5356876,0.07553043645175103,B&M Store,51.537903,0.08130077,Discount Store
Abbey,51.5356876,0.07553043645175103,Ibis Budget,51.53381580285314,0.07208609135466304,Hotel
Abbey,51.5356876,0.07553043645175103,Lidl,51.5357614073454,0.0818426649564688,Supermarket
Abbey,51.5356876,0.07553043645175103,Costa Coffee,51.53595526187492,0.07110009194288207,Coffee Shop
Abbey,51.5356876,0.07553043645175103,Tesco,51.5363694,0.0710829,Supermarket
Abbey,51.5356876,0.07553043645175103,Tesco Express,51.536930896613505,0.08041146823554984,Grocery Store
Abbey,51.5356876,0.07553043645175103,Travelodge London Barking,51.53727676527283,0.07985681595387477,Hotel
Abbey,51.5356876,0.07553043645175103,Barking Bathhouse,51.53521262390576,0.07812033253658891,Spa
Abbey,51.5356876,0.07553043645175103,Broadway Theatre,51.53565746373889,0.07748348676060458,Theater
Abbey,51.5356876,0.07553043645175103,Galleon Cafe,51.533201280272266,0.07509620574024771,Breakfast Spot
Abbey,51.5356876,0.07553043645175103,Ibis Hotel,51.5337826593789,0.07199639057319018,Hotel
Abbey,51.5356876,0.07553043645175103,Etap Hotel,51.53498092291072,0.07098442370817774,Hotel
Abbey,51.5356876,0.07553043645175103,Arboretum Place,51.5368114157624,0.08009613931770165,Plaza
Abbey,51.5356876,0.07553043645175103,Hewetts Quay,51.532591,0.07457,Harbor / Marina
Abbey,51.5356876,0.07553043645175103,Regus,51.5372146,0.0699677,Business Service
